País,Clics,Impresiones,CTR,Posición
Estados Unidos,162,17923,0.9%,9.25
México,13,839,1.55%,8.38
España,4,215,1.86%,11.66
Puerto Rico,2,132,1.52%,8.08
Argentina,2,42,4.76%,11.64
Panamá,2,23,8.7%,11.43
Colombia,1,125,0.8%,9.65
República Dominicana,1,59,1.69%,9.42
Honduras,1,50,2%,9.04
Venezuela,1,44,2.27%,9.75
Perú,1,35,2.86%,10.11
El Salvador,1,29,3.45%,10.93
Alemania,1,13,7.69%,9.38
Bolivia,1,7,14.29%,12.14
Reino Unido,0,52,0%,10.17
Brasil,0,47,0%,11.51
Canadá,0,42,0%,9.52
Ecuador,0,42,0%,9.69
Chile,0,30,0%,15.47
Guatemala,0,23,0%,9.7
Costa Rica,0,20,0%,8.9
La India,0,20,0%,15.65
Nicaragua,0,16,0%,12.19
Francia,0,14,0%,7.14
Vietnam,0,14,0%,22.86
Indonesia,0,13,0%,10.08
Cuba,0,11,0%,8.36
Corea del Sur,0,10,0%,10.4
Uruguay,0,9,0%,13
Países Bajos,0,8,0%,8.5
Malasia,0,8,0%,12.5
Italia,0,7,0%,5.86
Turquía,0,7,0%,9.71
Polonia,0,5,0%,8.2
Bangladés,0,5,0%,12.8
Chequia,0,5,0%,13
Tailandia,0,5,0%,21.8
Ucrania,0,3,0%,7.33
Bahamas,0,3,0%,10.67
Taiwán,0,3,0%,10.67
Emiratos Árabes Unidos,0,3,0%,11.67
Bélgica,0,3,0%,12.33
Argelia,0,3,0%,22.33
Sudáfrica,0,3,0%,31.33
Bielorrusia,0,2,0%,3.5
Islas Turcas y Caicos,0,2,0%,4
Nigeria,0,2,0%,8.5
Australia,0,2,0%,9
Belice,0,2,0%,9
Suiza,0,2,0%,10.5
Rusia,0,2,0%,10.5
Iraq,0,2,0%,16
Kenia,0,2,0%,17.5
Japón,0,2,0%,20.5
Pakistán,0,2,0%,28.5
Seychelles,0,1,0%,4
Kosovo,0,1,0%,4
Irlanda,0,1,0%,5
Sri Lanka,0,1,0%,5
Marruecos,0,1,0%,5
Irán,0,1,0%,6
Letonia,0,1,0%,6
Malta,0,1,0%,6
Suecia,0,1,0%,6
Andorra,0,1,0%,7
Paraguay,0,1,0%,7
Trinidad y Tobago,0,1,0%,7
Bahréin,0,1,0%,8
Haití,0,1,0%,9
Jamaica,0,1,0%,9
Rumanía,0,1,0%,9
Bermuda,0,1,0%,10
Dinamarca,0,1,0%,10
Etiopía,0,1,0%,10
Omán,0,1,0%,10
Angola,0,1,0%,11
Albania,0,1,0%,11
Azerbaiyán,0,1,0%,11
Bosnia y Herzegovina,0,1,0%,12
Egipto,0,1,0%,12
Portugal,0,1,0%,12
Austria,0,1,0%,15
Serbia,0,1,0%,17
Eslovenia,0,1,0%,17
Filipinas,0,1,0%,38
Senegal,0,1,0%,50
Costa de Marfil,0,1,0%,68
